,Original_Text,Predicted_Value
0,reuters дан сообщен источник мтс закрыт последн момент предыдущ месяц млн 27 руб сбер mcxsber средн цен основн торг состоян мск индекс торгов акц сниз пункт рынок ммвб фондов сектор московск бирж лидер mcxplzl уровн 14 бумаг mcxmgnt декабр 065 094 mcxgmkn снижа ниж примерн ира продолжа состав лукойл mcxlkoh 208 153 наход дня 071 ртс mcxmtlr середин сравнен максимальн обь рубл текущ остальн 032 торгуем 63 составля 004 100 пониз минимальн 305 mcxgazp 2188 автоматическ идут 181 газпрома значен пункта активн фб выросли оборот мечела мтлр акцийсбербанк полюсзолот плзл газп ммвбэт mcxyndx 031 326 падения0тqифру000а0j ындx 1600 тмка mcxtrmk трмк мрсквол лкоh магнита мгнт 226 соллерс mcxsvav сва 64 снижаетсяк гмкнорник гмкн 342 204 интерраоа mcxirao ыандеx 378 674 ростамрсксз 00253 9839 1037 2257 10819 1999 1836 106898 106724 1852501 909 18372 101676 3132 14481 13136 2441 00261 2265 8116 11351 77945 165471 13715 312805 4592 188516 16088 157576 4460 87172 14970 63307,0.261984150761699
1,reuters дан сообщен источник закрыт последн момент предыдущ месяц млн руб рост сбер mcxsber средн цен основн торг состоян мск индекс торгов акц пункт рынок ммвб 061 фондов сектор московск бирж лидер mcxplzl выросл уровн бумаг mcxafks декабр 209 mcxgmkn 011 ниж примерн состав лукойл mcxlkoh дня 22 ртс 1206 повыс 993 037 сравнен максимальн обь рубл текущ остальн 30 092 285 39 торгуем составля 095 сбербанк mcxsngs 097 008 минимальн 143 179 mcxgazp 076 автоматическ идут 073 093 значен 1300 пункта активн фб оборот полюсзолот плзл газп ммвбэт 084 mcxsberp бспа mcxbspb бспб лкоh огк 2а гмкнорник гмкн энелроса 267 стабилизир 601 сберп 53 афкс 567 сургнфгз снгс акцийгазпрома мечелап растетиндекс снизились акрон mcxakrn акрн 994 системаа ростаора 3977 15753 3999 7687 паденияфскеэса 13018 1898 30455 21820 159248 159607 372326 23923 8265 06313 142689 01662 7043 08606 129055 70471 22503 28296 34114 1157508 29416 893404 63535 172653 152019 27852 125773,0.144531057475529
2,reuters нача итог актив сред говор бизнес нов представител предыдущ год такж рост комментар российск котор investing com торг фон сша сесс 20 зафиксирова индекс стал акц спрос пункт рынок мосбирж сектор лидер отметк бумаг вырос декабр январ металлургическ максимум подряд ден пят заседан врем программ продолжа четверг мир аналитик втб инвестиц позитивн наш 10 telegram лукойл втор прибавля дня вниман голуб нлмк магнит побед процесс вид поддержк слаб достиг покупател середин оказыва страны установ подготов участник текст населен внешн норникел подчеркива бкс коррекцион движен выкуп республиканц сбербанк сегодн параметр пакет расширен потер усилен 2020 ян польз помощ идут газпром растут нефтегазов нивелирова рекорд вверх пункта демократ ммк роснефт окажет поможет русгидр пандем смогл кана фокус вывест сбербанка вниз надежд массов ждут инвестиций фишк складыва ецб лишн локомотив uc rusal переговорн вакцинац httpst meruinvestingcom шебалинаподписыва 322879 322689 бык нвоост упуска,-0.301598640725497
3,reuters дан сообщен источник закрыт последн предыдущ месяц млн руб сбер mcxsber средн цен торг состоян мск индекс торгов акц пункт рынок ммвб 061 фондов московск бирж лидер уровн 018 011 ниж примерн состав 103 mcxphor 261 049 дня 01 ртс 11 бел сравнен обь 60 рубл апрел 161 167 mcxvtbr остальн 032 098 077 торгуем виде 091 составля 1147 пониз 265 mcxalrs mcxgazp автоматическ 132 154 идут 313 газпрома пункта активн фб оборот 4817 mcxbelu моэск mcxmsrs 215 мсрс акцийсбербанк газп ммвбэт mcxyndx 1030 алросаа алрс ашинскиймз ростабелугаа аптеки36и6 yandex ындx тмка mcxtrmk трмк энелроса mcxmvid мвид втба втбр 416 251 253 306 347 672 222 228 mcxkmaz кмаз камаз 168 движет разнонаправленноп фосагроа пhор 2661 1192 20958 0933 падениясбгбетф 10339 446 103182 193874 2665 7072 6433 05502 14285 44176 24081 30576 8238 0022015 1616 12951,0.00687633448771807
4,reuters дан сообщен источник закрыт последн момент предыдущ месяц млн руб рост сбер mcxsber средн цен основн торг 25 состоян мск индекс июл торгов акц пункт рынок ммвб фондов сектор московск бирж лидер выросл уровн 14 бумаг mcxmgnt 12 281 mcxgmkn 072 ниж примерн 66 состав пол лукойл mcxlkoh наход дня ртс повыс 31 сильн сравнен максимальн обь рубл текущ остальн 106 032 1430 торгуем составля сбербанк 118 155 096 минимальн 015 mcxgazp 147 автоматическ идут газпрома значен пункта активн фб оборот mcxpoly тгк акцийсбербанк полюсзолот газп ммвбэт 09 mcxsberp mcxselg селг 033 лкоh магнита мгнт 156 826 гмкнорник гмкн 258 284 257 204 356 сберп корректир 582 318 вниз 289 ростаселигдар 4610 растетиндекс снизились mcxkmaz кмаз камаз 168 полымета 585 пыт развернут 1085 926 562 0тqтффx 2054 3966 16781 падениялентадр цмтап цмта 1822 125157 123628 0456 123797 3012208 311106 18465 102503 2177 20204 000317 114165 22105 767521 273666 19742 22356 51125 213086 96276,0.00230476339476882
5,reuters крупн след компан сообщен част млрд такж российск котор золот 25 фонд акц явля полюс mcxplzl групп месторожден лет кредитн област заключа выступа размер сделк открыт открыва оа сбербанк ltd соглашен входя золотодобыва international polyus свыш материал предоставля 95 плзл контролир подписа золото кра иркутск амурск лин учрежден gold якут красноярск limited разрабатыва магаданск владеет сенатор рудн россыпн бенефициар сын саид неотчужден керимов керим сулейман джерсийск suleyman kerimov foundation млрда невозобновля поручител share retention deed сбербанком,0.459138167110089
6,reuters дан сообщен источник закрыт последн предыдущ месяц млн руб сбер mcxsber средн цен торг состоян мск индекс июл торгов акц пункт рынок ммвб фондов московск бирж лидер mcxplzl уровн mcxgmkn 114 011 ниж примерн состав 186 лукойл mcxlkoh дня 239 01 ртс мосэнерг 35 11 бел сравнен обь рубл 128 остальн 30 торгуем составля сбербанк 118 159 пониз 08 mcxgazp автоматическ 013 идут 625 пункта активн фб оборот белугаа mcxbelu полюсзолот плзл газп севст ммвбэт 2560 1030 снижаетсяп бспа mcxbspb бспб mcxtrmk трмк лкоh роснефт mcxrosn росн 02 огк 2а 212 гмкнорник 112 гмкн 064 111 191 еврплана 171 иqиw 271 6242 229 акцийгазпрома 781 1073 падениямтс 996 ростатмка 0306 114129 208448 24425 49428 05794 3125 8148 7129 85195 5878 19781 52997 13303 31418 3916 12517 35535 8225 16738 5332,0.245823279647594
7,reuters дан сообщен источник закрыт последн предыдущ месяц млн руб сбер mcxsber средн цен торг состоян мск индекс торгов акц пункт рынок ммвб фондов московск бирж лидер уровн mcxmgnt 009 mcxpikk ниж примерн состав пол 041 049 дня 071 ртс повыс 11 сравнен обь 80 рубл 109 044 005 остальн торгуем июн составля 004 008 mcxalrs mcxgazp автоматическ 183 идут газпрома пикк 036 пункта активн фб оборот mcxpoly нлмка белугаа акцийсбербанк полюсзолот газп ммвбэт 148 алросаа алрс мрскцп мрскур магнита мгнт роснефт mcxrosn росн 226 358 еврплана 15172 фскеэса 203 растетп 268 1005 1034 полымета 2999 паденияпика 5015 3637 13344 644 0461 02214 4542 2757 31415 1098 0154 774 16851 3291 ростацмта 17222 11356 10692 02922 26468 5276 26066 25002 13659 54065 13214 53825 11099,-0.165809072160932
8,reuters дан сообщен источник закрыт последн предыдущ месяц млн руб сбер mcxsber средн цен торг состоян мск 20 индекс торгов акц пункт рынок ммвб фондов московск бирж лидер mcxplzl уровн 14 магн mcxpikk ниж примерн состав пол лукойл mcxlkoh дня 071 22 ртс повыс сравнен обь рубл 321 остальн торгуем июн 091 053 составля сбербанк 038 mcxmagn mcxalrs mcxgazp 535 автоматическ идут пикк пункта активн фб оборот mcxpoly 117 тгк полюсзолот плзл газп севст новатэка mcxnvtk нвтк ммвбэт mcxyndx 084 1030 алрс мрскцп yandex ындx ммк 033 лкоh 245 162 энелроса 421 085 257 iqiwi 195 123 229 растетп пика акцийгазпрома 7314 133 389 ростаполымета 1049 371 1475 1616 2139 4012 2748 паденияалросаа 4883 4944 000263 13834 36011 1908 119955 196229 2744 04768 7022 7415 3482 10758 02102 29956 11932 19954 8278 10232,0.233183008599788
9,reuters рассказа рынк крупн компан октябр актив момент сбер mcxsber российск 2023 развит директор эт котор созда счита чита оригинальн стат сайт ран техническ инвестор банк пик сво срок 2025 ма платформ дела оформлен перв строительн девелопер эмитент 31 две покупател года заяв финансов стоимост компании продукт генеральн площадк сделк операц обращен цифров выпуск bits media интерес поиск событ достаточн рад запуст появ сделок недвижим выпущен равн альфа подобн пилотн активов 53 приобрест массов цфа знаков алекс проч минут квартир атомайз квадратн метр токенизирова атомайзстоим жк алтуфьевск берет предпосылк илясов проведут,-0.415912270957238
